Country,Limiting Magnitude,Coordinates,Longitude_x,Latitude_x,Latitude_y,Longitude_y,Park,Date
United States - Arizona,6,"[32.4606, -110.959]",-110.959,32.4606,32.2967,-111.167,Saguaro National Park,2009-03-18
United States - Arizona,6,"[32.15, -111.01]",-111.01,32.15,32.2967,-111.167,Saguaro National Park,2007-03-18
United States - Arizona,6,"[32.21, -110.84]",-110.84,32.21,32.2967,-111.167,Saguaro National Park,2007-03-19
United States - Arizona,6,"[32.2602, -111.02]",-111.02,32.2602,32.2967,-111.167,Saguaro National Park,2009-03-25
United States - Arizona,6,"[31.86, -110.95]",-110.95,31.86,32.2967,-111.167,Saguaro National Park,2007-03-14
United States - Arizona,6,"[32.22, -110.99]",-110.99,32.22,32.2967,-111.167,Saguaro National Park,2007-03-14
United States - Arizona,6,"[32.4164, -111.0]",-111.0,32.4164,32.2967,-111.167,Saguaro National Park,2007-03-15
United States - Arizona,6,"[32.2231, -111.1]",-111.1,32.2231,32.2967,-111.167,Saguaro National Park,2017-05-23
United States - Arizona,6,"[32.0836, -110.749]",-110.749,32.0836,32.2967,-111.167,Saguaro National Park,2017-06-15
United States - Arizona,6,"[32.0833, -110.75]",-110.75,32.0833,32.2967,-111.167,Saguaro National Park,2017-06-14
United States - Arizona,6,"[32.0848, -110.75]",-110.75,32.0848,32.2967,-111.167,Saguaro National Park,2017-06-14
United States - Arizona,6,"[32.0847, -110.75]",-110.75,32.0847,32.2967,-111.167,Saguaro National Park,2017-06-17
United States - Arizona,6,"[32.1649, -110.818]",-110.818,32.1649,32.2967,-111.167,Saguaro National Park,2017-06-17
United States - Arizona,6,"[32.2231, -111.1]",-111.1,32.2231,32.2967,-111.167,Saguaro National Park,2017-05-23
United States - Arizona,6,"[32.2231, -111.1]",-111.1,32.2231,32.2967,-111.167,Saguaro National Park,2017-05-23
United States - Arizona,6,"[32.2514, -111.193]",-111.193,32.2514,32.2967,-111.167,Saguaro National Park,2017-05-23
United States - Arizona,6,"[32.2515, -111.193]",-111.193,32.2515,32.2967,-111.167,Saguaro National Park,2017-05-23
United States - Arizona,6,"[32.4424, -110.789]",-110.789,32.4424,32.2967,-111.167,Saguaro National Park,2017-05-28
United States - Arizona,6,"[32.2425, -111.081]",-111.081,32.2425,32.2967,-111.167,Saguaro National Park,2017-05-23
United States - Arizona,6,"[32.0848, -110.75]",-110.75,32.0848,32.2967,-111.167,Saguaro National Park,2017-06-14
United States - Arizona,6,"[32.333, -111.212]",-111.212,32.333,32.2967,-111.167,Saguaro National Park,2006-03-22
United States - Arizona,6,"[32.12, -111.11]",-111.11,32.12,32.2967,-111.167,Saguaro National Park,2006-03-28
United States - Arizona,6,"[32.3826, -111.025]",-111.025,32.3826,32.2967,-111.167,Saguaro National Park,2009-03-27
United States - Arizona,6,"[32.2, -110.94]",-110.94,32.2,32.2967,-111.167,Saguaro National Park,2007-03-23
United States - Arizona,6,"[32.4202, -111.006]",-111.006,32.4202,32.2967,-111.167,Saguaro National Park,2008-02-26
United States - Arizona,6,"[32.423, -110.998]",-110.99799999999999,32.423,32.2967,-111.167,Saguaro National Park,2006-03-28
United States - Arizona,6,"[32.247, -111.226]",-111.226,32.247,32.2967,-111.167,Saguaro National Park,2006-03-27
United States - Arizona,6,"[32.4529, -111.017]",-111.01700000000001,32.4529,32.2967,-111.167,Saguaro National Park,2008-03-06
United States - Arizona,6,"[32.3959, -110.999]",-110.999,32.3959,32.2967,-111.167,Saguaro National Park,2008-03-06
United States - Arizona,6,"[31.9956, -111.298]",-111.29799999999999,31.9956,32.2967,-111.167,Saguaro National Park,2017-01-27
United States - Arizona,6,"[32.2064, -110.76]",-110.76,32.2064,32.2967,-111.167,Saguaro National Park,2017-02-20
United States - Arizona,6,"[32.1966, -110.791]",-110.791,32.1966,32.2967,-111.167,Saguaro National Park,2008-02-28
United States - Arizona,6,"[32.3829, -110.982]",-110.98200000000001,32.3829,32.2967,-111.167,Saguaro National Park,2009-03-26
United States - Arizona,6,"[32.4193, -110.949]",-110.949,32.4193,32.2967,-111.167,Saguaro National Park,2009-03-26
United States - Arizona,6,"[32.4278, -110.973]",-110.973,32.4278,32.2967,-111.167,Saguaro National Park,2009-03-26
United States - Arizona,6,"[32.2318, -111.061]",-111.061,32.2318,32.2967,-111.167,Saguaro National Park,2009-03-24
United States - Arizona,6,"[32.3348, -111.207]",-111.20700000000001,32.3348,32.2967,-111.167,Saguaro National Park,2009-03-24
United States - Arizona,6,"[31.9654, -111.598]",-111.598,31.9654,32.2967,-111.167,Saguaro National Park,2009-03-23
United States - Arizona,6,"[31.9654, -111.598]",-111.598,31.9654,32.2967,-111.167,Saguaro National Park,2009-03-23
United States - Arizona,6,"[31.9654, -111.598]",-111.598,31.9654,32.2967,-111.167,Saguaro National Park,2009-03-23
United States - Arizona,6,"[32.1318, -111.024]",-111.024,32.1318,32.2967,-111.167,Saguaro National Park,2008-03-04
United States - Arizona,6,"[32.1375, -111.134]",-111.134,32.1375,32.2967,-111.167,Saguaro National Park,2008-03-04
United States - Arizona,6,"[32.4659, -111.02]",-111.02,32.4659,32.2967,-111.167,Saguaro National Park,2008-03-05
United States - Arizona,6,"[32.41, -110.98]",-110.98,32.41,32.2967,-111.167,Saguaro National Park,2008-03-08
United States - Arizona,6,"[32.4344, -111.012]",-111.012,32.4344,32.2967,-111.167,Saguaro National Park,2008-03-08
United States - Arizona,6,"[32.423, -111.018]",-111.01799999999999,32.423,32.2967,-111.167,Saguaro National Park,2008-03-08
United States - Arizona,6,"[32.2243, -110.969]",-110.969,32.2243,32.2967,-111.167,Saguaro National Park,2008-03-02
United States - Arizona,6,"[32.2291, -110.959]",-110.959,32.2291,32.2967,-111.167,Saguaro National Park,2008-03-03
United States - Arizona,6,"[32.21, -111.01]",-111.01,32.21,32.2967,-111.167,Saguaro National Park,2008-03-03
United States - Arizona,6,"[32.2243, -110.969]",-110.969,32.2243,32.2967,-111.167,Saguaro National Park,2008-03-03
United States - Arizona,6,"[32.2244, -110.969]",-110.969,32.2244,32.2967,-111.167,Saguaro National Park,2008-03-03
United States - Arizona,6,"[31.9375, -111.562]",-111.56200000000001,31.9375,32.2967,-111.167,Saguaro National Park,2008-03-03
United States - Arizona,6,"[32.2686, -110.966]",-110.96600000000001,32.2686,32.2967,-111.167,Saguaro National Park,2009-03-20
